avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,depth,breadth_mode,breadth_factor,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr,holdout_avg_size,xirr_pct_of_base,dd_improvement,wr_improvement
2491.1,-7.1,6.71,1297.0,59.2,,none,1.0,3,1.5,0.02,10,dNone_none_D3_R1.5_T0.02_H10,1900.5,-10.6,6.68,2222,55.0,1.0,100.0,0.0,0.0
2491.1,-7.1,6.71,1297.0,59.2,,reduce_30-50_1.0,1.0,3,1.5,0.02,10,dNone_reduce_30-50_1.0_D3_R1.5_T0.02_H10,1900.5,-10.6,6.68,2222,55.0,1.0,100.0,0.0,0.0
2415.9,-7.0,6.7,1297.0,59.2,,reduce_30-50_0.8,0.8,3,1.5,0.02,10,dNone_reduce_30-50_0.8_D3_R1.5_T0.02_H10,1744.5,-10.3,6.66,2222,55.0,0.961,91.79163378058406,-0.29999999999999893,0.0
2348.4,-6.9,6.66,1297.0,59.2,,reduce_30-50_0.6,0.6,3,1.5,0.02,10,dNone_reduce_30-50_0.6_D3_R1.5_T0.02_H10,1598.5,-9.9,6.6,2222,55.0,0.921,84.10944488292554,-0.6999999999999993,0.0
2317.2,-6.9,6.64,1297.0,59.2,,reduce_30-50_0.5,0.5,3,1.5,0.02,10,dNone_reduce_30-50_0.5_D3_R1.5_T0.02_H10,1529.1,-9.8,6.56,2222,55.0,0.902,80.45777426992896,-0.7999999999999989,0.0
2287.7,-6.8,6.61,1297.0,59.2,,reduce_30-50_0.4,0.4,3,1.5,0.02,10,dNone_reduce_30-50_0.4_D3_R1.5_T0.02_H10,1461.9,-9.7,6.5,2222,55.0,0.882,76.92186266771903,-0.9000000000000004,0.0
2406.8,-6.7,6.7,1297.0,59.2,,reduce_30-55_0.8,0.8,3,1.5,0.02,10,dNone_reduce_30-55_0.8_D3_R1.5_T0.02_H10,1725.1,-9.4,6.67,2222,55.0,0.949,90.77084977637463,-1.1999999999999993,0.0
2332.1,-6.3,6.67,1297.0,59.2,,reduce_30-55_0.6,0.6,3,1.5,0.02,10,dNone_reduce_30-55_0.6_D3_R1.5_T0.02_H10,1562.5,-8.1,6.62,2222,55.0,0.898,82.2152065245988,-2.5,0.0
2298.1,-6.1,6.64,1297.0,59.2,,reduce_30-55_0.5,0.5,3,1.5,0.02,10,dNone_reduce_30-55_0.5_D3_R1.5_T0.02_H10,1485.7,-7.5,6.57,2222,55.0,0.873,78.17416469350171,-3.0999999999999996,0.0
2266.1,-5.9,6.61,1297.0,59.2,,reduce_30-55_0.4,0.4,3,1.5,0.02,10,dNone_reduce_30-55_0.4_D3_R1.5_T0.02_H10,1411.9,-7.0,6.51,2222,55.0,0.848,74.29097605893188,-3.5999999999999996,0.0
