avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,depth,gap,breadth_mode,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr,xirr_pct_of_base,dd_improvement,wr_improvement,sweet_score
5907.0,-15.2,6.02,1649.0,53.1,,-0.05,none,3,1.0,0.03,10,dNone_g5_none_D3_R1.0_T0.03_H10,2369.2,-19.4,5.48,2724,50.7,108.2221816188562,8.999999999999998,-4.0,8.780000000000001
4289.5,-17.5,5.78,1621.0,52.4,-0.3,-0.05,none,3,1.0,0.03,10,d30_g5_none_D3_R1.0_T0.03_H10,2121.3,-19.4,5.37,2704,50.4,96.89841037822036,8.999999999999998,-4.300000000000004,8.579999999999998
6672.5,-14.7,6.14,1682.0,53.2,,,none,3,1.0,0.03,10,dNone_gNone_none_D3_R1.0_T0.03_H10,2617.0,-18.8,5.5,2758,50.8,119.54138498081493,8.4,-3.9000000000000057,8.529999999999998
4045.8,-16.0,5.72,1607.0,52.2,-0.25,-0.05,none,3,1.0,0.03,10,d25_g5_none_D3_R1.0_T0.03_H10,1866.4,-19.4,5.3,2694,50.3,85.25488763018456,8.999999999999998,-4.400000000000006,8.479999999999997
4619.2,-17.5,5.84,1651.0,52.4,-0.3,,none,3,1.0,0.03,10,d30_gNone_none_D3_R1.0_T0.03_H10,2310.5,-18.8,5.35,2738,50.4,105.54083683537365,8.4,-4.300000000000004,8.26
4197.7,-16.2,5.77,1635.0,52.4,-0.25,,none,3,1.0,0.03,10,d25_gNone_none_D3_R1.0_T0.03_H10,1945.8,-18.8,5.31,2727,50.5,88.88178329983556,8.4,-4.200000000000003,8.249999999999998
4089.3,-14.6,5.89,1649.0,52.9,,-0.05,none,3,1.0,0.03,7,dNone_g5_none_D3_R1.0_T0.03_H7,1829.4,-18.2,5.49,2724,50.6,83.56477251964189,7.799999999999999,-4.100000000000001,8.16
4589.1,-14.4,6.04,1682.0,53.1,,,none,3,1.0,0.03,7,dNone_gNone_none_D3_R1.0_T0.03_H7,1978.7,-17.9,5.53,2758,50.7,90.3846153846154,7.499999999999998,-4.0,8.08
3364.8,-16.8,5.6,1575.0,53.2,,-0.03,none,3,1.0,0.03,10,dNone_g3_none_D3_R1.0_T0.03_H10,1847.5,-17.5,5.27,2653,50.9,84.39155856020464,7.1,-3.8000000000000043,7.679999999999999
2711.0,-18.4,5.43,1555.0,52.7,-0.3,-0.03,none,3,1.0,0.03,10,d30_g3_none_D3_R1.0_T0.03_H10,1753.7,-17.5,5.23,2642,50.7,80.10688836104514,7.1,-4.0,7.580000000000001
3190.8,-14.6,5.53,1526.0,53.7,,-0.02,none,3,1.0,0.03,10,dNone_g2_none_D3_R1.0_T0.03_H10,1760.4,-15.9,5.28,2588,52.2,80.41293623241368,5.5,-2.5,7.280000000000001
5241.2,-7.1,7.4,1649.0,58.3,,-0.05,none,3,1.0,0.02,10,dNone_g5_none_D3_R1.0_T0.02_H10,2782.5,-10.6,7.05,2724,54.3,127.10122419148549,0.1999999999999993,-0.4000000000000057,7.029999999999998
