avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,bucket,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr
5683.2,-7.1,7.49,1682.0,58.5,no_filter,3,1.0,0.02,7,no_filter_D3_R1.0_T0.02_H7,2839.7,-10.4,6.99,2758,54.3
6316.3,-7.1,7.46,1682.0,58.5,no_filter,3,1.0,0.02,10,no_filter_D3_R1.0_T0.02_H10,3200.4,-10.4,6.95,2758,54.2
4041.1,-6.6,7.14,1635.0,57.7,max_25%,3,1.0,0.02,10,max_25%_D3_R1.0_T0.02_H10,2212.8,-6.8,6.89,2727,53.9
3684.9,-6.6,7.16,1635.0,57.7,max_25%,3,1.0,0.02,7,max_25%_D3_R1.0_T0.02_H7,2052.0,-6.8,6.84,2727,54.0
4748.7,-7.0,7.5,1682.0,58.5,no_filter,3,1.0,0.02,5,no_filter_D3_R1.0_T0.02_H5,2281.6,-10.2,6.83,2758,54.2
3101.0,-6.6,7.16,1635.0,57.7,max_25%,3,1.0,0.02,5,max_25%_D3_R1.0_T0.02_H5,1680.0,-6.8,6.67,2727,53.9
2787.2,-7.1,6.78,1343.0,59.3,no_filter,3,1.5,0.02,7,no_filter_D3_R1.5_T0.02_H7,1957.0,-10.4,6.65,2282,54.8
4000.4,-7.1,7.26,1498.0,59.7,min_5%,3,1.0,0.02,5,min_5%_D3_R1.0_T0.02_H5,2421.9,-10.2,6.65,2440,55.5
4722.3,-7.1,7.15,1498.0,59.7,min_5%,3,1.0,0.02,7,min_5%_D3_R1.0_T0.02_H7,2927.5,-10.2,6.61,2440,55.4
5260.4,-7.1,7.11,1498.0,59.7,min_5%,3,1.0,0.02,10,min_5%_D3_R1.0_T0.02_H10,3226.4,-10.2,6.57,2440,55.4
3064.6,-7.1,6.77,1343.0,59.3,no_filter,3,1.5,0.02,10,no_filter_D3_R1.5_T0.02_H10,2189.2,-10.4,6.55,2282,54.7
2370.7,-7.4,6.78,1343.0,59.2,no_filter,3,1.5,0.02,5,no_filter_D3_R1.5_T0.02_H5,1608.7,-10.4,6.55,2282,54.6
