avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,experiment,variant,down_days,rvol,trail,hold,entry_mode,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr
5244.5,-7.1,7.41,1649.0,58.3,gap_filter,gap_0.05,3,1.0,0.02,10,close,gap_filter_gap_0.05_D3_R1.0_T0.02_H10,2782.5,-10.6,7.05,2724,54.3
5683.2,-7.1,7.49,1682.0,58.5,baseline,none,3,1.0,0.02,7,close,baseline_none_D3_R1.0_T0.02_H7,2839.7,-10.4,6.99,2758,54.3
3064.7,-7.6,7.24,1575.0,58.4,gap_filter,gap_0.03,3,1.0,0.02,10,close,gap_filter_gap_0.03_D3_R1.0_T0.02_H10,2184.6,-8.5,6.99,2653,55.1
4747.9,-7.2,7.4,1649.0,58.2,gap_filter,gap_0.05,3,1.0,0.02,7,close,gap_filter_gap_0.05_D3_R1.0_T0.02_H7,2503.6,-10.7,6.98,2724,54.3
6316.3,-7.1,7.46,1682.0,58.5,baseline,none,3,1.0,0.02,10,close,baseline_none_D3_R1.0_T0.02_H10,3200.4,-10.4,6.95,2758,54.2
2829.0,-7.9,7.11,1526.0,58.5,gap_filter,gap_0.02,3,1.0,0.02,10,close,gap_filter_gap_0.02_D3_R1.0_T0.02_H10,2014.2,-7.8,6.94,2588,55.4
2784.4,-7.6,7.19,1575.0,58.3,gap_filter,gap_0.03,3,1.0,0.02,7,close,gap_filter_gap_0.03_D3_R1.0_T0.02_H7,1943.5,-8.3,6.92,2653,55.1
2568.9,-7.7,7.05,1526.0,58.4,gap_filter,gap_0.02,3,1.0,0.02,7,close,gap_filter_gap_0.02_D3_R1.0_T0.02_H7,1777.6,-7.3,6.86,2588,55.4
2491.1,-7.1,6.71,1297.0,59.2,gap_filter,gap_0.05,3,1.5,0.02,10,close,gap_filter_gap_0.05_D3_R1.5_T0.02_H10,1900.5,-10.6,6.68,2222,55.0
2281.7,-7.1,6.67,1297.0,59.1,gap_filter,gap_0.05,3,1.5,0.02,7,close,gap_filter_gap_0.05_D3_R1.5_T0.02_H7,1724.1,-10.6,6.67,2222,55.0
2787.2,-7.1,6.78,1343.0,59.3,baseline,none,3,1.5,0.02,7,close,baseline_none_D3_R1.5_T0.02_H7,1957.0,-10.4,6.65,2282,54.8
3064.6,-7.1,6.77,1343.0,59.3,baseline,none,3,1.5,0.02,10,close,baseline_none_D3_R1.5_T0.02_H10,2189.2,-10.4,6.55,2282,54.7
